customer_id,customer_unique_id,customer_state
06b8999e2f,861eff4711,SP
18955e83d3,290c77bc52,SP
4e7b3e0028,060e732b5b,SP
b2b6027bc5,259dac7578,SP
4f2d8ab171,345ecd01c3,SP
879864dab9,4c93744516,SC
fd826e7cf6,addec96d2e,SP
5e274e7a0c,57b2a98a40,MG
5adf08e34b,1175e95fb4,PR
4b7139f345,9afe194fb8,MG
9fb35e4ed6,2a7745e1ed,MG
5aa9e4fdd4,2a46fb94ae,RJ
b2d1536598,918dc87cd7,SP
eabebad39a,295c05e819,SP
1f1c7bf1c9,3151a81801,RS
206f3129c0,21f748a16f,SP
a7c125a0a0,5c2991dbd0,RJ
c5c61596a3,b6e99561fe,SP
9b8ce80368,7f3a72e8f9,SP
49d0ea0986,3e6fd6b2f0,PA
154c4ded69,e607ede0e6,SC
690172ab31,a96d5cfa0d,GO
2938121a40,482441ea6a,SP
237098a646,4390ddbb62,PR
cb721d7b4f,a5844ba4bf,SP
f681356046,5f102dd372,SP
167bd30a40,9c0096673b,GO
6e359a57a9,2e6a42a9b5,SP
e0eea8f69a,4d22187562,ES
e3109970a3,a8654e2af5,SP
261cb4f924,424aca6872,SP
6f92779347,bf4862777d,SP
2d5831cb2d,e9dd12dca1,BA
b2bed11938,e079b18794,RJ
469634941c,ef07ba9aa5,PR
df0aa5b858,85d234692f,SP
41c8f4b570,fe3634ccef,SP
54f755c3fd,40febde16f,RS
4c06b42fbf,07d190f123,MA
b6368ca0f5,dd992305cb,SC
4a0e66fd30,86085586aa,SP
c168abb907,5ad58a4e6a,MG
a3b0fda37b,c9158d0896,SP
0ccd415657,66cc90195c,SP
c532a74a3e,91ec50a00a,SP
19cecb194f,d251c190ca,MG
f34a6e8740,233896de79,MG
c132855c92,a8ae36a2bb,SP
df85b96ba2,8d46223c91,PR
4d27341acd,e021e69883,SC
d3b6830d18,27cf4b1530,SP
79de53946d,7ce5b57a12,MG
a562ab1e72,d33eeadf54,SP
b64ed91eab,3da7750bf3,RJ
8247b55833,d85547cd85,RJ
8fcaa93689,3af0b2f765,MS
a9b0d1c261,3d49f4455a,SP
aa9f03ecd3,b03e9d9818,GO
230c0d7404,a302a693d5,PR
a905baa530,c80da60fed,CE
4fa19f7da6,a2b8841410,DF
03f846ad03,7677c21300,SP
de4e13fd7d,0c17f9ac28,RS
8276de07ef,332cf4e83e,RS
cc32707d2e,0d516ca029,RJ
a02f66c3af,b3548d0cec,SP
26acee41e2,c3293e875f,MG
f64cdee665,d89e05e2d2,SP
7ab7a537b6,dad5018ffc,ES
7300450ced,95700615de,SP
4c7241af24,b157c176c3,CE
97e126f19a,d4397835ae,SP
6d27a9361e,76b029c871,MG
6810c3dc47,7eaa86786b,MG
b514422efc,b436a10853,RJ
0aae2862f8,cd076285a1,SP
6c9a592352,cf6d4152d7,SP
1b2cb35b19,468d559ef2,PR
12d1b4294f,7556f18246,SP
f6529ffebe,e5dbefdfdf,RJ
8264e35181,67d21c8bea,SP
8392e3d4cf,fd2d5fdb84,RN
38d1cd8930,d491a65a6e,SP
91ec768360,6edd17d0a2,RJ
f9dfa0a293,bf6e263ffc,SP
5a3260cfde,6d3f61e35d,SP
ee3a81b277,a9a77b4e25,MG
784c407781,eca666aec0,RS
3f6ede29d4,7a380cb543,SP
6bed27564b,463093247f,SP
670254dd2e,914b142462,BA
f7cb015ff7,e235442a95,RJ
ea2196dc45,4a4de987b3,BA
09241c552e,44e9a12464,SP
e50a30de3c,b4d6e1b900,DF
f89c1a6b9c,809353196a,SP
23e96758fd,9e1f719fe5,SP
369708cabd,94b731a418,SP
5f8b4882b5,694cb45ff2,RJ
ad6891a193,9dbb05f557,MA
ae76a46502,2b6082a140,SP
a1b9e0e44d,eab761ccdb,SP
443b534d0d,4071d48a2d,SC
126cf4e9fd,90d479448b,CE
530220145a,7b24d0e658,MG
4cc465bb8c,7981196c72,SP
9b7822c67a,9d0ac1cdbf,DF
1f6ba90917,b1a049b952,SP
39c9dc82d5,1f6d48610f,SP
560829a36d,fa7e6f153b,RJ
b80adce6a7,8728c766c8,PE
eb67e9bd33,4bc7250d4b,SP
70a8cfb173,29f61e71b9,SP
8891eb5ca0,13ac6da47f,SP
eb03682e11,9553802042,RS
db781c2a25,37e1a83b51,SP
fe6d73ac00,60f874c577,MG
aa0fbd830c,eabd76f350,PR
af9d769317,93bf5d4e75,MG
b0964d7697,24a5c2b24a,PR
bf60fa574e,54fccbde5e,SP
66cc929741,1bdff446ef,SP
e32daa14df,52e57dd921,RJ
23ff88906d,d04c37e169,MG
8d1b923f85,82e96a74ee,MG
7897c2b0a7,7b3b8cf6ce,PR
3ccb27f9c7,f32cdbbeca,RS
ab23bc8d29,2e61eefc51,SP
c82a5e4faf,ca19a17e38,PR
7e468d618e,96b1c916f2,MG
