order_id,payment_type,payment_value
b81ef226f3,credit_card,99
a9810da829,credit_card,24
25e8ea4e93,credit_card,65
ba78997921,credit_card,107
42fdf880ba,credit_card,128
298fcdf1f7,credit_card,96
771ee386b0,credit_card,81
3d7239c394,credit_card,51
1f78449c87,credit_card,341
0573b5e23c,boleto,51
d88e0d5fa4,credit_card,188
2480f727e8,credit_card,141
616105c935,credit_card,75
cf95215a72,credit_card,102
7692141766,credit_card,105
12e5cfe0e4,credit_card,157
61059985a6,credit_card,132
79da3f5fe3,credit_card,98
8ac09207f4,credit_card,244
b2349a3f20,credit_card,136
5a1f6d22f7,credit_card,47
4214cda550,credit_card,170
adfbf6c2a6,credit_card,67
4d680edbaa,credit_card,353
8cd68144cd,boleto,330
5cfd514482,voucher,45
d0a945f85b,credit_card,541
c39414c195,credit_card,139
5d9c5817e2,credit_card,290
b69b9260e7,boleto,283
f45074ae38,credit_card,13
81cedc4d21,credit_card,30
595f598849,credit_card,26
f9d0ec2fa0,credit_card,89
e647bf617d,credit_card,65
b2bb080b6b,credit_card,173
23f10f5096,credit_card,103
f86f6472fa,credit_card,64
1dcf0c8cd3,credit_card,157
00d8d65b66,boleto,130
cf30fe76d1,credit_card,47
d3e774a185,credit_card,117
32b1d8f378,boleto,56
c10d412026,credit_card,266
56c3277583,boleto,31
0e04417864,credit_card,121
6ffb3f1686,credit_card,32
afef48d3c8,credit_card,153
c0db7d31ac,credit_card,65
d574338f56,credit_card,278
1807cc7363,credit_card,91
e8977f709b,credit_card,132
2e2c60b997,credit_card,542
1ffb3c1929,boleto,166
95442deb81,boleto,368
10af96a068,credit_card,113
85eef2d342,credit_card,99
aa964845f1,credit_card,27
343348b1e2,credit_card,43
ad4098a257,credit_card,68
3e0c3cab45,credit_card,105
3ab4eea677,credit_card,387
10d9871bed,boleto,84
c108072ab3,credit_card,210
fc662bafa5,boleto,90
4217849b1f,credit_card,67
795c16acb4,credit_card,37
55e2d72373,boleto,89
947e9c6bfd,voucher,69
60e43c5f5b,credit_card,78
e3e9e3295f,voucher,50
460d57443f,credit_card,34
4cb51127f1,boleto,77
110d9355d6,credit_card,566
42f5954cda,credit_card,402
3689194c14,voucher,57
97c111c4f2,credit_card,44
4b2d035932,credit_card,187
e1b4ee0e39,credit_card,77
fee72a68ce,credit_card,48
4d3bfdf4c7,credit_card,77
4c2e1a9558,credit_card,117
c9f23db8a1,credit_card,169
8e47a04b25,credit_card,37
723e462ce1,credit_card,13
fa2ea4b6e8,debit_card,227
fb1a2a1296,credit_card,34
198298d54f,credit_card,342
b19ca55968,credit_card,73
5be8d4719f,credit_card,117
4a02e985c7,credit_card,48
3e17eef8a8,credit_card,53
f8d323a270,credit_card,51
de4090fd9b,credit_card,121
17e5131fe1,credit_card,73
20f136d890,credit_card,117
557cc26759,credit_card,56
d60a89ab9b,credit_card,115
3ba2d0012b,credit_card,60
d46f45b0d7,credit_card,27
96de2b7f7f,boleto,32
f9d5bfb531,credit_card,195
21b8b46679,voucher,43
e6670c9089,credit_card,88
85a4fbdba4,credit_card,34
35525be13c,credit_card,40
46ee6eaca1,credit_card,71
f49cd89d6d,boleto,47
9acd1ccfbc,credit_card,81
83f24bbc4f,credit_card,231
0b65284a1a,credit_card,144
cf61ad2218,debit_card,35
243312dbb3,credit_card,285
8973a53fca,credit_card,176
f090de1b2e,credit_card,27
2ccde1e467,credit_card,134
0f4b5614da,credit_card,96
1d92d2ce1a,credit_card,110
a490a5d59a,credit_card,17
60ead11db6,credit_card,44
c51dcdd98e,credit_card,110
ea9184ad43,voucher,22
8f936fb77c,credit_card,46
0fba53cb4e,boleto,52
cdaa116d3c,credit_card,61
68d7420c86,boleto,121
a5f860aaf6,credit_card,75
f51e3c7f79,credit_card,130
9184724aac,credit_card,57
8bdc559b12,credit_card,76
49d3db2a02,boleto,90
c604ad5f1e,credit_card,31
859980aae5,credit_card,106
e2cd740333,voucher,163
55779fa8fe,boleto,233
99bc267f49,credit_card,163
0c99132c4f,credit_card,135
66a4fa2d40,credit_card,267
db43c1a570,credit_card,186
82ffe097d8,voucher,30
f75666bf6c,credit_card,97
5e5d134298,credit_card,48
14d9794bbb,boleto,116
a8c012ba7d,credit_card,41
31f8013402,boleto,42
4f99d1a7b0,credit_card,125
ca8f94a99a,credit_card,92
9bdcb4559b,credit_card,348
96cc8c4201,credit_card,203
87f003dca7,credit_card,44
