product_id,product_photos_count,product_length_cm,product_height_cm,product_width_cm,product_category_name,product_weight_kg
1e9e8ef04d,1.0,16.0,10.0,14.0,perfumery,0.225
3aa071139c,1.0,30.0,18.0,20.0,art,1.0
96bd76ec88,1.0,18.0,9.0,15.0,sports_leisure,0.154
cef67bcfe1,1.0,26.0,4.0,26.0,baby,0.371
9dc1a7de27,4.0,20.0,17.0,13.0,housewares,0.625
41d3672d47,1.0,38.0,5.0,11.0,musical_instruments,0.2
732bd381ad,4.0,70.0,24.0,44.0,cool_stuff,18.35
2548af3e6e,2.0,40.0,8.0,40.0,furniture_decor,0.9
37cc742be0,1.0,27.0,13.0,17.0,home_appliances,0.4
8c92109888,1.0,17.0,10.0,12.0,toys,0.6
14aa47b7fe,1.0,16.0,10.0,16.0,bed_bath_table,1.1
03b63c5fc1,4.0,50.0,19.0,45.0,baby,7.15
cf55509ea8,3.0,17.0,7.0,17.0,musical_instruments,0.25
7bb6f29c2b,2.0,68.0,11.0,13.0,furniture_decor,0.6
eb31436580,4.0,17.0,7.0,17.0,construction_tools_safety,0.2
3bb7f14402,1.0,16.0,2.0,11.0,sports_leisure,0.8
6a2fb4dd53,2.0,27.0,5.0,20.0,perfumery,0.4
a1b71017a8,1.0,40.0,15.0,20.0,computers_accessories,0.9
a0736b92e5,2.0,100.0,7.0,15.0,furniture_decor,1.7
f53103a77d,1.0,16.0,10.0,16.0,bed_bath_table,0.5
1c1890ba17,4.0,29.0,24.0,45.0,furniture_decor,2.55
518ef5de2c,2.0,36.0,8.0,16.0,bed_bath_table,0.8
e3e020af31,3.0,21.0,7.0,13.0,health_beauty,0.075
8b41fbc2b9,1.0,20.0,13.0,13.0,baby,0.5
d03bd02af9,1.0,40.0,10.0,30.0,furniture_decor,1.8
8ba4f2a4ae,1.0,50.0,5.0,50.0,housewares,0.9
f6574524b0,5.0,35.0,25.0,50.0,luggage_accessories,3.6
c78b767da0,2.0,42.0,2.0,30.0,computers_accessories,0.3
a0253d4339,2.0,23.0,13.0,13.0,computers_accessories,0.74
051b9ff13d,2.0,62.0,23.0,23.0,sports_leisure,3.6
47859fca9d,1.0,16.0,10.0,16.0,bed_bath_table,0.65
e1d1d22e9f,9.0,70.0,8.0,34.0,garden_tools,2.15
20e3796208,1.0,40.0,10.0,34.0,furniture_decor,0.8
1eba879220,1.0,52.0,51.0,17.0,office_furniture,8.95
ce5b91848b,4.0,34.0,9.0,31.0,sports_leisure,1.388
5370b82a21,9.0,33.0,30.0,44.0,baby,7.95
b8dac5113b,2.0,87.0,3.0,42.0,auto,6.0
750cf819d1,1.0,18.0,12.0,16.0,electronics,0.263
e6af694343,1.0,19.0,20.0,15.0,housewares,3.9
680874c570,1.0,25.0,25.0,25.0,furniture_decor,0.6
8b3a9476f7,2.0,49.0,13.0,41.0,furniture_decor,2.05
1c6fb703c6,2.0,22.0,17.0,15.0,toys,0.725
db46052aed,4.0,45.0,15.0,35.0,bed_bath_table,6.35
b864b10318,4.0,70.0,11.0,11.0,baby,0.6
7a8dac4aaa,2.0,18.0,40.0,79.0,cool_stuff,11.75
83b9bc6aae,3.0,22.0,32.0,38.0,toys,2.55
5f504b3a1c,3.0,47.0,40.0,47.0,cool_stuff,15.35
bbf920aa6a,2.0,25.0,16.0,25.0,furniture_decor,1.3
c3b7e4d83e,2.0,69.0,11.0,11.0,furniture_decor,0.85
c5d8079278,1.0,19.0,28.0,17.0,health_beauty,1.3
5eaa343860,5.0,60.0,30.0,15.0,sports_leisure,4.8
b5cfb1d3c5,2.0,36.0,16.0,24.0,cool_stuff,1.3
334479e94c,1.0,18.0,14.0,17.0,auto,0.22
3fcd8dfe61,4.0,41.0,17.0,49.0,baby,5.7
4c8056caed,2.0,20.0,40.0,30.0,luggage_accessories,0.45
30e77af9e7,2.0,32.0,12.0,37.0,fashion_shoes,2.0
92bf5d2084,2.0,19.0,3.0,11.0,telephony,0.1
fdeb34a9f0,1.0,30.0,20.0,23.0,cool_stuff,1.1
1065dbb6b0,3.0,38.0,40.0,39.0,stationery,1.4
0d826eba8e,4.0,20.0,14.0,12.0,toys,0.25
f8f6fd145c,1.0,25.0,20.0,14.0,sports_leisure,1.05
4e04ffb7dd,1.0,24.0,7.0,16.0,stationery,0.5
36555a2f52,1.0,23.0,16.0,20.0,health_beauty,1.467
22937a73f9,3.0,16.0,5.0,11.0,fashion_bags_accessories,0.1
dc21247da0,1.0,16.0,5.0,16.0,stationery,0.1
9020ce7adc,2.0,23.0,7.0,15.0,stationery,0.3
bfc1d1c62b,2.0,60.0,15.0,15.0,sports_leisure,0.95
6fef6d87bb,1.0,17.0,3.0,11.0,garden_tools,0.25
1e5428c428,1.0,27.0,50.0,53.0,computers,12.0
94080f9219,6.0,17.0,9.0,16.0,auto,0.921
d0389f20b3,1.0,60.0,25.0,25.0,home_construction,10.0
3e9b58f143,2.0,16.0,11.0,11.0,watches_gifts,0.25
575c38b4c8,3.0,44.0,20.0,20.0,cool_stuff,1.2
556702ebb7,1.0,25.0,8.0,25.0,construction_tools_construction,4.8
a3a03c1319,1.0,40.0,20.0,20.0,pet_shop,0.7
e586ebb602,3.0,18.0,21.0,27.0,health_beauty,1.05
278b3c6462,3.0,20.0,20.0,20.0,small_appliances,0.35
0d00964317,1.0,21.0,16.0,18.0,perfumery,0.422
be1be330cf,1.0,19.0,13.0,16.0,watches_gifts,0.317
07f01b6fca,1.0,63.0,66.0,56.0,agro_industry_and_commerce,16.4
75b4372e69,1.0,29.0,22.0,23.0,health_beauty,0.938
3569d4374a,1.0,21.0,16.0,31.0,health_beauty,2.7
a3c95dc653,1.0,30.0,18.0,30.0,bed_bath_table,1.75
0992c6cba9,1.0,29.0,12.0,24.0,garden_tools,3.85
b1eae565a6,2.0,17.0,13.0,17.0,perfumery,0.267
2734390ee3,3.0,55.0,40.0,40.0,musical_instruments,16.2
32ee3f4e24,2.0,38.0,9.0,27.0,bed_bath_table,1.4
c2367eda4f,1.0,100.0,10.0,11.0,bed_bath_table,6.45
7f34b85142,3.0,105.0,3.0,70.0,furniture_decor,2.3
c478b1bbf9,2.0,25.0,8.0,18.0,computers_accessories,0.3
f9ecf420c3,1.0,50.0,10.0,12.0,sports_leisure,0.6
3a6a0247ce,1.0,20.0,20.0,20.0,health_beauty,3.6
adf591c625,6.0,20.0,24.0,33.0,health_beauty,0.15
3e0f398b66,4.0,16.0,4.0,11.0,sports_leisure,0.4
64c8f1a52b,1.0,18.0,6.0,11.0,telephony,0.1
af16005fca,2.0,53.0,8.0,20.0,furniture_decor,0.8
e6a1ff3552,6.0,47.0,19.0,23.0,auto,5.25
d8a405c732,1.0,35.0,4.0,26.0,auto,0.2
ce94e3c411,2.0,17.0,11.0,12.0,watches_gifts,0.335
3f0f8de616,1.0,50.0,12.0,12.0,bed_bath_table,1.3
6ddc95e871,3.0,35.0,2.0,25.0,furniture_decor,0.15
a2e2851eae,3.0,16.0,4.0,11.0,computers_accessories,0.367
723f62c36c,4.0,16.0,2.0,11.0,watches_gifts,0.25
b2b3503e67,1.0,75.0,25.0,55.0,furniture_decor,8.5
c18c01e095,1.0,42.0,25.0,15.0,baby,2.15
a41e356c76,,17.0,14.0,12.0,other,0.65
e7cad5e8ed,4.0,16.0,5.0,11.0,sports_leisure,0.15
c33d78b972,1.0,27.0,10.0,22.0,bed_bath_table,0.65
e8fd6f481d,4.0,20.0,26.0,32.0,small_appliances,2.7
67bea89008,1.0,23.0,22.0,16.0,housewares,1.2
e8e86cbab0,2.0,55.0,10.0,46.0,furniture_living_room,6.05
c12b64bf08,1.0,16.0,6.0,11.0,sports_leisure,0.15
6f0169f259,6.0,16.0,20.0,16.0,home_construction,1.05
b6f3b8136b,1.0,23.0,7.0,30.0,pet_shop,1.35
2be2be0a6a,1.0,36.0,6.0,19.0,housewares,0.6
8efa775719,1.0,30.0,18.0,18.0,furniture_decor,1.0
9e87e3ee09,2.0,43.0,8.0,33.0,bed_bath_table,1.55
a0abcee013,1.0,45.0,13.0,35.0,bed_bath_table,2.7
7f6308ba40,9.0,19.0,5.0,11.0,telephony,0.2
1eb4a9aee0,1.0,38.0,8.0,28.0,luggage_accessories,0.8
8da90b37f0,3.0,18.0,13.0,15.0,perfumery,0.377
712a72a78f,3.0,45.0,22.0,43.0,sports_leisure,0.4
c5fb7fbe39,1.0,16.0,5.0,16.0,signaling_and_security,0.45
f17b05cc8a,1.0,32.0,51.0,16.0,air_conditioning,2.0
55ec10b397,1.0,16.0,2.0,11.0,fashion_bags_accessories,0.3
c190c4fe58,1.0,26.0,14.0,14.0,furniture_decor,0.25
f908df9919,2.0,60.0,15.0,15.0,sports_leisure,1.95
ac5bae85a8,2.0,16.0,15.0,11.0,telephony,0.5
d8dee61c20,,16.0,7.0,20.0,other,0.3
cbaff83e2c,6.0,70.0,15.0,70.0,art,7.9
ad67f74682,2.0,41.0,9.0,34.0,bed_bath_table,1.8
1e12f1836c,1.0,37.0,3.0,23.0,garden_tools,0.9
acd427ee11,7.0,16.0,2.0,11.0,fashion_bags_accessories,0.2
60cf4effb6,4.0,80.0,70.0,28.0,baby,4.5
51fed4afb1,3.0,21.0,7.0,15.0,consoles_games,0.25
bb09cce52b,1.0,16.0,25.0,12.0,housewares,0.55
65a6462e42,4.0,39.0,12.0,28.0,luggage_accessories,1.1
f2396540fb,1.0,40.0,20.0,40.0,bed_bath_table,3.6
70d1bd3a04,1.0,16.0,3.0,11.0,consoles_games,0.1
0075c14603,2.0,16.0,18.0,16.0,sports_leisure,0.15
5a42f73d92,1.0,18.0,13.0,16.0,sports_leisure,3.775
bcd58b852a,2.0,25.0,20.0,20.0,cool_stuff,1.4
2bfb0bdbce,5.0,22.0,7.0,18.0,consoles_games,0.9
87fb220044,2.0,20.0,12.0,20.0,watches_gifts,0.25
484bf1dff7,1.0,21.0,9.0,16.0,toys,0.35
56139431d7,,20.0,20.0,20.0,other,0.2
3cef817440,3.0,18.0,32.0,27.0,baby,1.8
003938452c,2.0,50.0,8.0,50.0,furniture_living_room,5.05
8d6cb00151,1.0,50.0,50.0,50.0,auto,27.1
5877301b00,1.0,65.0,8.0,38.0,home_appliances,1.5
e0bbe62924,2.0,16.0,11.0,11.0,watches_gifts,0.5
dd768d259e,2.0,16.0,10.0,16.0,bed_bath_table,0.35
fc2edee55f,3.0,16.0,12.0,17.0,auto,0.5
b521fddf2c,1.0,20.0,20.0,20.0,sports_leisure,1.0
46b48281eb,,41.0,30.0,41.0,other,18.5
